"district","date","cases","deaths"
"Kashmore","2021-10-18","0","0"
"Khairpur","2021-10-18","9","0"
"Larkana","2021-10-18","6","0"
"Karachi Malir","2021-10-18","4","0"
"Matiari","2021-10-18","36","0"
"Mirpurkhas","2021-10-18","6","0"
"Nowshero Feroze","2021-10-18","26","0"
"Sanghar","2021-10-18","11","0"
"Shaheed Banazir Abad","2021-10-18","21","0"
"Shikarpur","2021-10-18","10","1"
"Karachi South","2021-10-18","12","0"
"Sujawal","2021-10-18","0","0"
"Sukkur","2021-10-18","11","0"
"Tando Allahyar","2021-10-18","7","0"
"Tando Muhammad Khan","2021-10-18","4","0"
"Tharparkar","2021-10-18","17","0"
"Thatta","2021-10-18","36","0"
"Umerkot","2021-10-18","7","0"
"Karachi West","2021-10-18","1","0"
"Badin","2021-10-19","9","0"
"Karachi Central","2021-10-19","4","0"
"Dadu","2021-10-19","0","0"
"Karachi East","2021-10-19","32","0"
"Ghotki","2021-10-19","6","0"
"Hyderabad","2021-10-19","29","0"
"Jacobabad","2021-10-19","3","0"
"Jamshoro","2021-10-19","6","0"
"Shahdadkot","2021-10-19","0","0"
"Korangi","2021-10-19","9","0"
"Kashmore","2021-10-19","0","0"
"Khairpur","2021-10-19","4","0"
"Larkana","2021-10-19","1","0"
"Karachi Malir","2021-10-19","6","0"
"Matiari","2021-10-19","11","0"
"Mirpurkhas","2021-10-19","18","0"
"Nowshero Feroze","2021-10-19","13","0"
"Sanghar","2021-10-19","16","0"
"Shaheed Banazir Abad","2021-10-19","13","0"
"Shikarpur","2021-10-19","2","0"
"Karachi South","2021-10-19","8","0"
"Sujawal","2021-10-19","8","0"
"Sukkur","2021-10-19","7","0"
"Tando Allahyar","2021-10-19","20","0"
"Tando Muhammad Khan","2021-10-19","16","0"
"Tharparkar","2021-10-19","18","0"
"Thatta","2021-10-19","0","0"
"Umerkot","2021-10-19","5","0"
"Karachi West","2021-10-19","9","1"
"Badin","2021-10-20","17","0"
"Karachi Central","2021-10-20","11","0"
"Dadu","2021-10-20","0","0"
"Karachi East","2021-10-20","37","0"
"Ghotki","2021-10-20","12","0"
"Hyderabad","2021-10-20","34","2"
"Jacobabad","2021-10-20","0","0"
"Jamshoro","2021-10-20","23","0"
"Shahdadkot","2021-10-20","0","0"
"Korangi","2021-10-20","7","0"
"Kashmore","2021-10-20","1","0"
"Khairpur","2021-10-20","0","0"
"Larkana","2021-10-20","0","0"
"Karachi Malir","2021-10-20","4","0"
"Matiari","2021-10-20","13","0"
"Mirpurkhas","2021-10-20","13","0"
"Nowshero Feroze","2021-10-20","16","0"
"Sanghar","2021-10-20","24","0"
"Shaheed Banazir Abad","2021-10-20","13","0"
"Shikarpur","2021-10-20","12","0"
"Karachi South","2021-10-20","5","0"
"Sujawal","2021-10-20","0","0"
"Sukkur","2021-10-20","10","0"
"Tando Allahyar","2021-10-20","8","0"
"Tando Muhammad Khan","2021-10-20","0","0"
"Tharparkar","2021-10-20","14","0"
"Thatta","2021-10-20","25","0"
"Umerkot","2021-10-20","8","0"
"Karachi West","2021-10-20","5","0"
"Badin","2021-10-21","0","0"
"Karachi Central","2021-10-21","2","0"
"Dadu","2021-10-21","2","0"
"Karachi East","2021-10-21","16","1"
"Ghotki","2021-10-21","0","0"
"Hyderabad","2021-10-21","30","0"
"Jacobabad","2021-10-21","0","0"
"Jamshoro","2021-10-21","0","0"
"Shahdadkot","2021-10-21","1","0"
"Korangi","2021-10-21","19","0"
"Kashmore","2021-10-21","0","0"
"Khairpur","2021-10-21","0","0"
"Larkana","2021-10-21","9","0"
"Karachi Malir","2021-10-21","1","1"
"Matiari","2021-10-21","0","0"
"Mirpurkhas","2021-10-21","14","0"
"Nowshero Feroze","2021-10-21","15","0"
"Sanghar","2021-10-21","9","0"
"Shaheed Banazir Abad","2021-10-21","0","0"
"Shikarpur","2021-10-21","0","0"
"Karachi South","2021-10-21","34","1"
"Sujawal","2021-10-21","0","0"
"Sukkur","2021-10-21","0","0"
"Tando Allahyar","2021-10-21","12","0"
"Tando Muhammad Khan","2021-10-21","0","0"
"Tharparkar","2021-10-21","14","0"
"Thatta","2021-10-21","1","0"
"Umerkot","2021-10-21","0","0"
"Karachi West","2021-10-21","5","0"
"Badin","2021-10-22","2","0"
"Karachi Central","2021-10-22","14","0"
"Dadu","2021-10-22","1","0"
"Karachi East","2021-10-22","40","0"
"Ghotki","2021-10-22","0","0"
"Hyderabad","2021-10-22","15","0"
"Jacobabad","2021-10-22","0","0"
"Jamshoro","2021-10-22","0","0"
"Shahdadkot","2021-10-22","0","0"
"Korangi","2021-10-22","14","0"
"Kashmore","2021-10-22","0","0"
"Khairpur","2021-10-22","0","0"
"Larkana","2021-10-22","20","0"
"Karachi Malir","2021-10-22","4","0"
"Matiari","2021-10-22","0","0"
"Mirpurkhas","2021-10-22","14","0"
"Nowshero Feroze","2021-10-22","12","0"
"Sanghar","2021-10-22","1","0"
"Shaheed Banazir Abad","2021-10-22","2","0"
"Shikarpur","2021-10-22","2","0"
"Karachi South","2021-10-22","14","0"
"Sujawal","2021-10-22","0","0"
"Sukkur","2021-10-22","1","0"
"Tando Allahyar","2021-10-22","15","0"
"Tando Muhammad Khan","2021-10-22","0","0"
"Tharparkar","2021-10-22","16","0"
"Thatta","2021-10-22","0","0"
"Umerkot","2021-10-22","0","0"
"Karachi West","2021-10-22","5","0"
"Badin","2021-10-23","0","0"
"Karachi Central","2021-10-23","7","0"
"Dadu","2021-10-23","0","0"
"Karachi East","2021-10-23","27","3"
"Ghotki","2021-10-23","0","0"
"Hyderabad","2021-10-23","15","0"
"Jacobabad","2021-10-23","6","0"
"Jamshoro","2021-10-23","24","0"
"Shahdadkot","2021-10-23","0","0"
"Korangi","2021-10-23","5","1"
"Kashmore","2021-10-23","0","0"
"Khairpur","2021-10-23","0","0"
"Larkana","2021-10-23","6","0"
"Karachi Malir","2021-10-23","8","0"
"Matiari","2021-10-23","14","0"
"Mirpurkhas","2021-10-23","9","0"
"Nowshero Feroze","2021-10-23","18","0"
"Sanghar","2021-10-23","16","0"
"Shaheed Banazir Abad","2021-10-23","32","0"
"Shikarpur","2021-10-23","10","0"
"Karachi South","2021-10-23","16","3"
"Sujawal","2021-10-23","15","0"
"Sukkur","2021-10-23","1","0"
"Tando Allahyar","2021-10-23","12","0"
"Tando Muhammad Khan","2021-10-23","0","0"
"Tharparkar","2021-10-23","15","0"
"Thatta","2021-10-23","0","0"
"Umerkot","2021-10-23","0","0"
"Karachi West","2021-10-23","4","0"
"Badin","2021-10-24","2","0"
"Karachi Central","2021-10-24","2","0"
"Dadu","2021-10-24","19","0"
"Karachi East","2021-10-24","23","2"
"Ghotki","2021-10-24","7","0"
"Hyderabad","2021-10-24","56","0"
"Jacobabad","2021-10-24","4","0"
"Jamshoro","2021-10-24","14","0"
"Shahdadkot","2021-10-24","0","0"
"Korangi","2021-10-24","8","0"
"Kashmore","2021-10-24","9","0"
"Khairpur","2021-10-24","1","0"
"Larkana","2021-10-24","13","0"
"Karachi Malir","2021-10-24","8","0"
"Matiari","2021-10-24","0","0"
"Mirpurkhas","2021-10-24","20","0"
"Nowshero Feroze","2021-10-24","15","0"
"Sanghar","2021-10-24","18","0"
"Shaheed Banazir Abad","2021-10-24","16","0"
"Shikarpur","2021-10-24","5","0"
"Karachi South","2021-10-24","6","0"
"Sujawal","2021-10-24","19","0"
"Sukkur","2021-10-24","10","0"
"Tando Allahyar","2021-10-24","8","0"
"Tando Muhammad Khan","2021-10-24","25","0"
"Tharparkar","2021-10-24","10","0"
"Thatta","2021-10-24","43","0"
"Umerkot","2021-10-24","12","0"
"Karachi West","2021-10-24","4","1"
"Badin","2021-10-25","23","0"
"Karachi Central","2021-10-25","17","0"
"Dadu","2021-10-25","23","0"
"Karachi East","2021-10-25","12","0"
"Ghotki","2021-10-25","4","0"
"Hyderabad","2021-10-25","34","0"
"Jacobabad","2021-10-25","4","0"
"Jamshoro","2021-10-25","20","0"
"Shahdadkot","2021-10-25","25","0"
"Korangi","2021-10-25","0","0"
"Kashmore","2021-10-25","0","0"
"Khairpur","2021-10-25","0","0"
"Larkana","2021-10-25","5","0"
"Karachi Malir","2021-10-25","2","0"
"Matiari","2021-10-25","32","0"
"Mirpurkhas","2021-10-25","13","0"
"Nowshero Feroze","2021-10-25","14","0"
"Sanghar","2021-10-25","9","0"
"Shaheed Banazir Abad","2021-10-25","12","0"
"Shikarpur","2021-10-25","7","0"
"Karachi South","2021-10-25","29","0"
"Sujawal","2021-10-25","0","0"
"Sukkur","2021-10-25","9","0"
"Tando Allahyar","2021-10-25","16","0"
"Tando Muhammad Khan","2021-10-25","0","0"
"Tharparkar","2021-10-25","15","0"
"Thatta","2021-10-25","8","0"
"Umerkot","2021-10-25","7","0"
"Karachi West","2021-10-25","0","0"
"Badin","2021-10-26","20","0"
"Karachi Central","2021-10-26","4","0"
"Dadu","2021-10-26","0","0"
"Karachi East","2021-10-26","29","0"
"Ghotki","2021-10-26","4","0"
"Hyderabad","2021-10-26","17","0"
"Jacobabad","2021-10-26","3","0"
"Jamshoro","2021-10-26","26","0"
"Shahdadkot","2021-10-26","8","0"
"Korangi","2021-10-26","2","0"
"Kashmore","2021-10-26","0","0"
"Khairpur","2021-10-26","0","0"
"Larkana","2021-10-26","0","0"
"Karachi Malir","2021-10-26","4","1"
"Matiari","2021-10-26","0","0"
"Mirpurkhas","2021-10-26","15","0"
"Nowshero Feroze","2021-10-26","18","0"
"Sanghar","2021-10-26","16","0"
"Shaheed Banazir Abad","2021-10-26","14","0"
"Shikarpur","2021-10-26","4","0"
"Karachi South","2021-10-26","7","1"
"Sujawal","2021-10-26","0","0"
"Sukkur","2021-10-26","5","0"
"Tando Allahyar","2021-10-26","7","0"
"Tando Muhammad Khan","2021-10-26","0","0"
"Tharparkar","2021-10-26","10","1"
"Thatta","2021-10-26","0","0"
"Umerkot","2021-10-26","6","0"
"Karachi West","2021-10-26","2","1"
"Badin","2021-10-27","14","0"
"Karachi Central","2021-10-27","4","1"
"Dadu","2021-10-27","10","0"
"Karachi East","2021-10-27","30","0"
"Ghotki","2021-10-27","5","0"
"Hyderabad","2021-10-27","43","0"
"Jacobabad","2021-10-27","4","0"
"Jamshoro","2021-10-27","16","0"
"Shahdadkot","2021-10-27","0","0"
"Korangi","2021-10-27","14","0"
"Kashmore","2021-10-27","0","0"
"Khairpur","2021-10-27","0","0"
"Larkana","2021-10-27","11","0"
"Karachi Malir","2021-10-27","1","0"
"Matiari","2021-10-27","20","0"
"Mirpurkhas","2021-10-27","0","0"
"Nowshero Feroze","2021-10-27","0","0"
"Sanghar","2021-10-27","14","0"
"Shaheed Banazir Abad","2021-10-27","15","0"
"Shikarpur","2021-10-27","7","0"
"Karachi South","2021-10-27","27","1"
"Sujawal","2021-10-27","27","0"
"Sukkur","2021-10-27","9","0"
"Tando Allahyar","2021-10-27","15","0"
"Tando Muhammad Khan","2021-10-27","27","0"
"Tharparkar","2021-10-27","13","0"
"Thatta","2021-10-27","33","0"
"Umerkot","2021-10-27","7","0"
"Karachi West","2021-10-27","3","0"
"Badin","2021-10-28","10","0"
"Karachi Central","2021-10-28","12","3"
"Dadu","2021-10-28","7","0"
"Karachi East","2021-10-28","22","1"
"Ghotki","2021-10-28","6","0"
"Hyderabad","2021-10-28","57","0"
"Jacobabad","2021-10-28","4","0"
"Jamshoro","2021-10-28","0","1"
"Shahdadkot","2021-10-28","0","0"
"Korangi","2021-10-28","8","0"
"Kashmore","2021-10-28","0","0"
"Khairpur","2021-10-28","0","0"
"Larkana","2021-10-28","9","0"
"Karachi Malir","2021-10-28","0","0"
"Matiari","2021-10-28","16","0"
"Mirpurkhas","2021-10-28","20","0"
"Nowshero Feroze","2021-10-28","26","0"
"Sanghar","2021-10-28","0","0"
"Shaheed Banazir Abad","2021-10-28","18","0"
"Shikarpur","2021-10-28","4","0"
"Karachi South","2021-10-28","14","1"
"Sujawal","2021-10-28","16","0"
"Sukkur","2021-10-28","8","0"
"Tando Allahyar","2021-10-28","9","0"
"Tando Muhammad Khan","2021-10-28","22","0"
"Tharparkar","2021-10-28","17","0"
"Thatta","2021-10-28","20","0"
"Umerkot","2021-10-28","7","0"
"Karachi West","2021-10-28","6","0"
"Badin","2021-10-29","4","0"
"Karachi Central","2021-10-29","6","0"
"Dadu","2021-10-29","14","0"
"Karachi East","2021-10-29","27","0"
"Ghotki","2021-10-29","0","0"
"Hyderabad","2021-10-29","64","0"
"Jacobabad","2021-10-29","0","0"
"Jamshoro","2021-10-29","23","0"
"Shahdadkot","2021-10-29","0","0"
"Korangi","2021-10-29","17","0"
"Kashmore","2021-10-29","0","0"
"Khairpur","2021-10-29","1","0"
"Larkana","2021-10-29","2","0"
"Karachi Malir","2021-10-29","1","0"
"Matiari","2021-10-29","4","0"
"Mirpurkhas","2021-10-29","17","0"
"Nowshero Feroze","2021-10-29","16","0"
"Sanghar","2021-10-29","28","0"
"Shaheed Banazir Abad","2021-10-29","21","0"
"Shikarpur","2021-10-29","0","0"
"Karachi South","2021-10-29","11","0"
"Sujawal","2021-10-29","24","0"
"Sukkur","2021-10-29","1","0"
"Tando Allahyar","2021-10-29","6","0"
"Tando Muhammad Khan","2021-10-29","16","0"
"Tharparkar","2021-10-29","16","0"
"Thatta","2021-10-29","19","0"
"Umerkot","2021-10-29","9","0"
"Karachi West","2021-10-29","6","0"
"Badin","2021-10-30","0","0"
"Karachi Central","2021-10-30","6","0"
"Dadu","2021-10-30","64","1"
"Karachi East","2021-10-30","25","2"
"Ghotki","2021-10-30","9","0"
"Hyderabad","2021-10-30","67","0"
"Jacobabad","2021-10-30","4","1"
"Jamshoro","2021-10-30","27","0"
"Shahdadkot","2021-10-30","10","0"
"Korangi","2021-10-30","19","0"
"Kashmore","2021-10-30","11","0"
"Khairpur","2021-10-30","1","0"
"Larkana","2021-10-30","14","0"
"Karachi Malir","2021-10-30","4","0"
"Matiari","2021-10-30","0","0"
"Mirpurkhas","2021-10-30","6","0"
"Nowshero Feroze","2021-10-30","28","0"
"Sanghar","2021-10-30","18","0"
"Shaheed Banazir Abad","2021-10-30","25","0"
"Shikarpur","2021-10-30","14","0"
"Karachi South","2021-10-30","6","0"
"Sujawal","2021-10-30","40","0"
"Sukkur","2021-10-30","10","0"
"Tando Allahyar","2021-10-30","14","0"
"Tando Muhammad Khan","2021-10-30","0","0"
"Tharparkar","2021-10-30","14","0"
"Thatta","2021-10-30","27","0"
"Umerkot","2021-10-30","7","0"
"Karachi West","2021-10-30","4","0"
"Badin","2021-10-31","16","0"
"Karachi Central","2021-10-31","4","0"
"Dadu","2021-10-31","1","0"
"Karachi East","2021-10-31","21","1"
"Ghotki","2021-10-31","0","0"
"Hyderabad","2021-10-31","16","0"
"Jacobabad","2021-10-31","1","0"
"Jamshoro","2021-10-31","1","0"
"Shahdadkot","2021-10-31","0","0"
"Korangi","2021-10-31","7","0"
"Kashmore","2021-10-31","0","0"
"Khairpur","2021-10-31","0","0"
"Larkana","2021-10-31","10","0"
"Karachi Malir","2021-10-31","4","0"
"Matiari","2021-10-31","6","0"
"Mirpurkhas","2021-10-31","6","0"
"Nowshero Feroze","2021-10-31","10","0"
"Sanghar","2021-10-31","11","0"
"Shaheed Banazir Abad","2021-10-31","13","0"
"Shikarpur","2021-10-31","0","0"
"Karachi South","2021-10-31","6","0"
"Sujawal","2021-10-31","11","0"
"Sukkur","2021-10-31","5","0"
"Tando Allahyar","2021-10-31","9","0"
"Tando Muhammad Khan","2021-10-31","25","0"
"Tharparkar","2021-10-31","9","0"
"Thatta","2021-10-31","14","0"
"Umerkot","2021-10-31","6","0"
"Karachi West","2021-10-31","0","0"
"Badin","2021-11-01","8","0"
"Karachi Central","2021-11-01","2","1"
"Dadu","2021-11-01","36","0"
"Karachi East","2021-11-01","10","0"
"Ghotki","2021-11-01","0","0"
"Hyderabad","2021-11-01","33","0"
"Jacobabad","2021-11-01","0","0"
"Jamshoro","2021-11-01","9","0"
"Shahdadkot","2021-11-01","0","0"
"Korangi","2021-11-01","0","0"
"Kashmore","2021-11-01","0","0"
"Khairpur","2021-11-01","0","0"
"Larkana","2021-11-01","6","0"
"Karachi Malir","2021-11-01","2","0"
"Matiari","2021-11-01","31","0"
"Mirpurkhas","2021-11-01","5","0"
"Nowshero Feroze","2021-11-01","15","0"
"Sanghar","2021-11-01","8","0"
"Shaheed Banazir Abad","2021-11-01","22","0"
"Shikarpur","2021-11-01","0","0"
"Karachi South","2021-11-01","15","0"
"Sujawal","2021-11-01","0","0"
"Sukkur","2021-11-01","0","0"
"Tando Allahyar","2021-11-01","6","0"
"Tando Muhammad Khan","2021-11-01","14","0"
"Tharparkar","2021-11-01","8","0"
"Thatta","2021-11-01","1","0"
"Umerkot","2021-11-01","5","0"
"Karachi West","2021-11-01","2","0"
"Badin","2021-11-02","6","0"
"Karachi Central","2021-11-02","7","0"
"Dadu","2021-11-02","0","0"
"Karachi East","2021-11-02","15","0"
"Ghotki","2021-11-02","6","0"
"Hyderabad","2021-11-02","24","0"
"Jacobabad","2021-11-02","2","0"
"Jamshoro","2021-11-02","8","0"
"Shahdadkot","2021-11-02","0","0"
"Korangi","2021-11-02","25","0"
"Kashmore","2021-11-02","0","0"
"Khairpur","2021-11-02","12","0"
"Larkana","2021-11-02","6","0"
"Karachi Malir","2021-11-02","4","0"
"Matiari","2021-11-02","8","0"
"Mirpurkhas","2021-11-02","8","0"
"Nowshero Feroze","2021-11-02","0","0"
"Sanghar","2021-11-02","14","0"
"Shaheed Banazir Abad","2021-11-02","14","0"
"Shikarpur","2021-11-02","8","0"
"Karachi South","2021-11-02","9","2"
"Sujawal","2021-11-02","9","0"
"Sukkur","2021-11-02","7","0"
"Tando Allahyar","2021-11-02","9","0"
"Tando Muhammad Khan","2021-11-02","22","0"
"Tharparkar","2021-11-02","9","0"
"Thatta","2021-11-02","16","0"
"Umerkot","2021-11-02","4","0"
"Karachi West","2021-11-02","10","0"
"Badin","2021-11-03","8","0"
"Karachi Central","2021-11-03","4","1"
"Dadu","2021-11-03","13","0"
"Karachi East","2021-11-03","19","3"
"Ghotki","2021-11-03","0","0"
"Hyderabad","2021-11-03","27","0"
"Jacobabad","2021-11-03","0","0"
"Jamshoro","2021-11-03","25","0"
"Shahdadkot","2021-11-03","28","0"
"Korangi","2021-11-03","19","1"
"Kashmore","2021-11-03","0","0"
"Khairpur","2021-11-03","0","0"
"Larkana","2021-11-03","7","0"
"Karachi Malir","2021-11-03","0","0"
"Matiari","2021-11-03","6","0"
"Mirpurkhas","2021-11-03","12","0"
"Nowshero Feroze","2021-11-03","19","0"
"Sanghar","2021-11-03","10","0"
"Shaheed Banazir Abad","2021-11-03","12","0"
"Shikarpur","2021-11-03","0","0"
"Karachi South","2021-11-03","21","2"
"Sujawal","2021-11-03","0","0"
"Sukkur","2021-11-03","0","0"
"Tando Allahyar","2021-11-03","8","0"
"Tando Muhammad Khan","2021-11-03","13","0"
"Tharparkar","2021-11-03","11","0"
"Thatta","2021-11-03","10","0"
"Umerkot","2021-11-03","6","0"
"Karachi West","2021-11-03","1","1"
"Badin","2021-11-04","7","0"
"Karachi Central","2021-11-04","2","0"
"Dadu","2021-11-04","29","0"
"Karachi East","2021-11-04","21","0"
"Ghotki","2021-11-04","0","0"
"Hyderabad","2021-11-04","14","0"
"Jacobabad","2021-11-04","0","0"
"Jamshoro","2021-11-04","12","0"
"Shahdadkot","2021-11-04","0","0"
"Korangi","2021-11-04","2","0"
"Kashmore","2021-11-04","0","0"
"Khairpur","2021-11-04","0","0"
"Larkana","2021-11-04","9","0"
"Karachi Malir","2021-11-04","3","0"
"Matiari","2021-11-04","0","0"
"Mirpurkhas","2021-11-04","8","0"
"Nowshero Feroze","2021-11-04","0","0"
"Sanghar","2021-11-04","14","0"
"Shaheed Banazir Abad","2021-11-04","11","0"
"Shikarpur","2021-11-04","0","0"
"Karachi South","2021-11-04","12","1"
"Sujawal","2021-11-04","10","0"
"Sukkur","2021-11-04","0","0"
"Tando Allahyar","2021-11-04","7","0"
"Tando Muhammad Khan","2021-11-04","12","0"
"Tharparkar","2021-11-04","12","0"
"Thatta","2021-11-04","17","0"
"Umerkot","2021-11-04","6","0"
"Karachi West","2021-11-04","9","0"
"Badin","2021-11-05","33","0"
"Karachi Central","2021-11-05","6","1"
"Dadu","2021-11-05","0","0"
"Karachi East","2021-11-05","22","1"
"Ghotki","2021-11-05","0","0"
"Hyderabad","2021-11-05","66","0"
"Jacobabad","2021-11-05","1","0"
"Jamshoro","2021-11-05","1","0"
"Shahdadkot","2021-11-05","0","0"
"Korangi","2021-11-05","12","0"
"Kashmore","2021-11-05","1","0"
"Khairpur","2021-11-05","0","0"
"Larkana","2021-11-05","7","0"
"Karachi Malir","2021-11-05","12","0"
"Matiari","2021-11-05","27","0"
"Mirpurkhas","2021-11-05","9","0"
"Nowshero Feroze","2021-11-05","10","0"
"Sanghar","2021-11-05","14","0"
"Shaheed Banazir Abad","2021-11-05","15","0"
"Shikarpur","2021-11-05","0","0"
"Karachi South","2021-11-05","8","0"
"Sujawal","2021-11-05","9","0"
"Sukkur","2021-11-05","1","0"
"Tando Allahyar","2021-11-05","7","0"
"Tando Muhammad Khan","2021-11-05","0","0"
"Tharparkar","2021-11-05","10","0"
"Thatta","2021-11-05","14","0"
"Umerkot","2021-11-05","5","0"
"Karachi West","2021-11-05","0","0"
"Badin","2021-11-06","4","0"
"Karachi Central","2021-11-06","12","1"
"Dadu","2021-11-06","5","0"
"Karachi East","2021-11-06","19","3"
"Ghotki","2021-11-06","0","0"
"Hyderabad","2021-11-06","16","0"
"Jacobabad","2021-11-06","0","0"
"Jamshoro","2021-11-06","26","0"
"Shahdadkot","2021-11-06","1","1"
"Korangi","2021-11-06","3","0"
"Kashmore","2021-11-06","0","0"
"Khairpur","2021-11-06","1","0"
"Larkana","2021-11-06","8","0"
"Karachi Malir","2021-11-06","5","1"
"Matiari","2021-11-06","14","0"
"Mirpurkhas","2021-11-06","8","0"
"Nowshero Feroze","2021-11-06","8","1"
"Sanghar","2021-11-06","10","0"
"Shaheed Banazir Abad","2021-11-06","0","0"
"Shikarpur","2021-11-06","0","0"
"Karachi South","2021-11-06","31","2"
"Sujawal","2021-11-06","9","0"
"Sukkur","2021-11-06","1","0"
"Tando Allahyar","2021-11-06","8","0"
"Tando Muhammad Khan","2021-11-06","23","0"
"Tharparkar","2021-11-06","12","1"
"Thatta","2021-11-06","0","0"
"Umerkot","2021-11-06","7","0"
"Karachi West","2021-11-06","5","2"
"Badin","2021-11-07","0","0"
"Karachi Central","2021-11-07","3","0"
"Dadu","2021-11-07","0","0"
"Karachi East","2021-11-07","15","0"
"Ghotki","2021-11-07","0","0"
"Hyderabad","2021-11-07","24","0"
"Jacobabad","2021-11-07","0","0"
"Jamshoro","2021-11-07","10","0"
"Shahdadkot","2021-11-07","0","0"
"Korangi","2021-11-07","21","0"
"Kashmore","2021-11-07","0","0"
"Khairpur","2021-11-07","0","0"
"Larkana","2021-11-07","6","0"
"Karachi Malir","2021-11-07","3","0"
"Matiari","2021-11-07","0","0"
"Mirpurkhas","2021-11-07","7","0"
"Nowshero Feroze","2021-11-07","20","0"
"Sanghar","2021-11-07","10","0"
"Shaheed Banazir Abad","2021-11-07","0","0"
"Shikarpur","2021-11-07","0","0"
"Karachi South","2021-11-07","21","0"
"Sujawal","2021-11-07","7","0"
"Sukkur","2021-11-07","1","0"
"Tando Allahyar","2021-11-07","7","0"
"Tando Muhammad Khan","2021-11-07","20","0"
"Tharparkar","2021-11-07","15","0"
"Thatta","2021-11-07","30","0"
"Umerkot","2021-11-07","5","0"
"Karachi West","2021-11-07","0","0"
"Badin","2021-11-08","24","0"
"Karachi Central","2021-11-08","13","0"
"Dadu","2021-11-08","39","0"
"Karachi East","2021-11-08","13","0"
"Ghotki","2021-11-08","0","0"
"Hyderabad","2021-11-08","25","0"
"Jacobabad","2021-11-08","0","0"
"Jamshoro","2021-11-08","20","0"
"Shahdadkot","2021-11-08","0","0"
"Korangi","2021-11-08","19","0"
"Kashmore","2021-11-08","0","0"
"Khairpur","2021-11-08","0","0"
"Larkana","2021-11-08","0","0"
"Karachi Malir","2021-11-08","3","0"
"Matiari","2021-11-08","18","0"
"Mirpurkhas","2021-11-08","8","0"
"Nowshero Feroze","2021-11-08","12","0"
"Sanghar","2021-11-08","10","0"
"Shaheed Banazir Abad","2021-11-08","13","0"
"Shikarpur","2021-11-08","0","0"
"Karachi South","2021-11-08","1","1"
"Sujawal","2021-11-08","0","0"
"Sukkur","2021-11-08","0","0"
"Tando Allahyar","2021-11-08","6","0"
"Tando Muhammad Khan","2021-11-08","7","0"
"Tharparkar","2021-11-08","11","0"
"Thatta","2021-11-08","0","0"
"Umerkot","2021-11-08","6","0"
"Karachi West","2021-11-08","1","0"
"Badin","2021-11-09","23","0"
"Karachi Central","2021-11-09","9","0"
"Dadu","2021-11-09","56","0"
"Karachi East","2021-11-09","17","1"
"Ghotki","2021-11-09","1","0"
"Hyderabad","2021-11-09","33","0"
"Jacobabad","2021-11-09","0","0"
"Jamshoro","2021-11-09","29","0"
"Shahdadkot","2021-11-09","0","0"
"Korangi","2021-11-09","10","0"
"Kashmore","2021-11-09","0","0"
"Khairpur","2021-11-09","2","0"
"Larkana","2021-11-09","1","0"
"Karachi Malir","2021-11-09","3","0"
"Matiari","2021-11-09","20","0"
"Mirpurkhas","2021-11-09","8","0"
"Nowshero Feroze","2021-11-09","17","0"
"Sanghar","2021-11-09","10","0"
"Shaheed Banazir Abad","2021-11-09","15","0"
"Shikarpur","2021-11-09","0","0"
"Karachi South","2021-11-09","12","0"
"Sujawal","2021-11-09","0","0"
"Sukkur","2021-11-09","3","0"
"Tando Allahyar","2021-11-09","6","0"
"Tando Muhammad Khan","2021-11-09","7","0"
"Tharparkar","2021-11-09","11","0"
"Thatta","2021-11-09","1","0"
"Umerkot","2021-11-09","6","0"
"Karachi West","2021-11-09","2","0"
"Badin","2021-11-10","10","0"
"Karachi Central","2021-11-10","8","0"
"Dadu","2021-11-10","23","0"
"Karachi East","2021-11-10","15","0"
"Ghotki","2021-11-10","0","0"
"Hyderabad","2021-11-10","23","0"
"Jacobabad","2021-11-10","1","0"
"Jamshoro","2021-11-10","22","0"
"Shahdadkot","2021-11-10","2","0"
"Korangi","2021-11-10","14","0"
"Kashmore","2021-11-10","0","0"
"Khairpur","2021-11-10","0","0"
"Larkana","2021-11-10","18","0"
"Karachi Malir","2021-11-10","0","0"
"Matiari","2021-11-10","22","0"
"Mirpurkhas","2021-11-10","18","0"
"Nowshero Feroze","2021-11-10","9","0"
"Sanghar","2021-11-10","31","0"
"Shaheed Banazir Abad","2021-11-10","32","0"
"Shikarpur","2021-11-10","0","0"
"Karachi South","2021-11-10","22","0"
"Sujawal","2021-11-10","23","0"
"Sukkur","2021-11-10","0","0"
"Tando Allahyar","2021-11-10","16","0"
"Tando Muhammad Khan","2021-11-10","37","0"
"Tharparkar","2021-11-10","9","0"
"Thatta","2021-11-10","27","0"
"Umerkot","2021-11-10","7","0"
"Karachi West","2021-11-10","5","0"
"Badin","2021-11-11","0","0"
"Karachi Central","2021-11-11","3","0"
"Dadu","2021-11-11","2","0"
"Karachi East","2021-11-11","19","0"
"Ghotki","2021-11-11","0","0"
"Hyderabad","2021-11-11","22","0"
"Jacobabad","2021-11-11","0","0"
"Jamshoro","2021-11-11","1","0"
"Shahdadkot","2021-11-11","0","0"
"Korangi","2021-11-11","21","0"
"Kashmore","2021-11-11","0","0"
"Khairpur","2021-11-11","0","0"
"Larkana","2021-11-11","1","0"
"Karachi Malir","2021-11-11","0","0"
"Matiari","2021-11-11","0","0"
"Mirpurkhas","2021-11-11","1","0"
