"district","date","cases","deaths"
"Tando Muhammad Khan","2021-08-23","2","0"
"Tharparkar","2021-08-23","22","0"
"Thatta","2021-08-23","27","0"
"Umerkot","2021-08-23","23","0"
"Karachi West","2021-08-23","16","0"
"Badin","2021-08-24","28","3"
"Karachi Central","2021-08-24","217","6"
"Dadu","2021-08-24","19","0"
"Karachi East","2021-08-24","277","21"
"Ghotki","2021-08-24","44","0"
"Hyderabad","2021-08-24","192","0"
"Jacobabad","2021-08-24","23","0"
"Jamshoro","2021-08-24","8","0"
"Shahdadkot","2021-08-24","11","1"
"Korangi","2021-08-24","107","14"
"Kashmore","2021-08-24","34","0"
"Khairpur","2021-08-24","42","1"
"Larkana","2021-08-24","14","1"
"Karachi Malir","2021-08-24","48","3"
"Matiari","2021-08-24","38","0"
"Mirpurkhas","2021-08-24","7","0"
"Nowshero Feroze","2021-08-24","16","0"
"Sanghar","2021-08-24","37","0"
"Shaheed Banazir Abad","2021-08-24","18","1"
"Shikarpur","2021-08-24","35","0"
"Karachi South","2021-08-24","162","9"
"Sujawal","2021-08-24","37","1"
"Sukkur","2021-08-24","45","1"
"Tando Allahyar","2021-08-24","12","0"
"Tando Muhammad Khan","2021-08-24","34","0"
"Tharparkar","2021-08-24","35","0"
"Thatta","2021-08-24","28","2"
"Umerkot","2021-08-24","18","0"
"Karachi West","2021-08-24","65","7"
"Badin","2021-08-25","67","0"
"Karachi Central","2021-08-25","114","9"
"Dadu","2021-08-25","6","0"
"Karachi East","2021-08-25","283","6"
"Ghotki","2021-08-25","8","0"
"Hyderabad","2021-08-25","113","0"
"Jacobabad","2021-08-25","0","0"
"Jamshoro","2021-08-25","69","0"
"Shahdadkot","2021-08-25","0","0"
"Korangi","2021-08-25","60","4"
"Kashmore","2021-08-25","1","0"
"Khairpur","2021-08-25","3","1"
"Larkana","2021-08-25","3","0"
"Karachi Malir","2021-08-25","118","1"
"Matiari","2021-08-25","31","0"
"Mirpurkhas","2021-08-25","33","0"
"Nowshero Feroze","2021-08-25","18","0"
"Sanghar","2021-08-25","34","0"
"Shaheed Banazir Abad","2021-08-25","43","0"
"Shikarpur","2021-08-25","2","1"
"Karachi South","2021-08-25","146","2"
"Sujawal","2021-08-25","21","0"
"Sukkur","2021-08-25","3","0"
"Tando Allahyar","2021-08-25","27","0"
"Tando Muhammad Khan","2021-08-25","23","0"
"Tharparkar","2021-08-25","31","0"
"Thatta","2021-08-25","31","0"
"Umerkot","2021-08-25","18","0"
"Karachi West","2021-08-25","61","1"
"Badin","2021-08-26","40","0"
"Karachi Central","2021-08-26","182","3"
"Dadu","2021-08-26","16","1"
"Karachi East","2021-08-26","229","2"
"Ghotki","2021-08-26","29","0"
"Hyderabad","2021-08-26","157","0"
"Jacobabad","2021-08-26","6","0"
"Jamshoro","2021-08-26","3","0"
"Shahdadkot","2021-08-26","21","0"
"Korangi","2021-08-26","73","2"
"Kashmore","2021-08-26","32","0"
"Khairpur","2021-08-26","25","0"
"Larkana","2021-08-26","7","0"
"Karachi Malir","2021-08-26","55","1"
"Matiari","2021-08-26","30","0"
"Mirpurkhas","2021-08-26","19","0"
"Nowshero Feroze","2021-08-26","18","0"
"Sanghar","2021-08-26","43","0"
"Shaheed Banazir Abad","2021-08-26","28","0"
"Shikarpur","2021-08-26","14","0"
"Karachi South","2021-08-26","128","5"
"Sujawal","2021-08-26","21","0"
"Sukkur","2021-08-26","18","1"
"Tando Allahyar","2021-08-26","20","0"
"Tando Muhammad Khan","2021-08-26","17","0"
"Tharparkar","2021-08-26","33","0"
"Thatta","2021-08-26","74","0"
"Umerkot","2021-08-26","15","1"
"Karachi West","2021-08-26","34","3"
"Badin","2021-08-27","42","0"
"Karachi Central","2021-08-27","96","4"
"Dadu","2021-08-27","15","0"
"Karachi East","2021-08-27","135","11"
"Ghotki","2021-08-27","17","0"
"Hyderabad","2021-08-27","146","0"
